env_data_hist,env_data_edge,env_data_min,env_data_mean,env_data_max,diff_hist,diff_edge,auto_correlation_arr,auto_correlation_idx,trend,change_period_hist,change_period_edge,amplitude_hist,amplitude_edge
0.0688062241672745,-1.0,-1.0,-0.08244531022990761,1.0,0.004376899696048632,-0.6829268292682927,0.861317204588457,1.0,7.50750475838807e-07,0.02710413694721826,1.0,0.06490727532097004,-1.8780487804878048
0.13943593484074884,-0.8,,,,0.04291793313069909,-0.526829268292683,0.5168327246021824,2.0,-0.0855327715617947,0.009985734664764621,2.1,0.2860199714693295,-1.5097560975609756
0.11208363724775103,-0.6,,,,0.18978723404255318,-0.3707317073170732,0.07525325183946423,3.0,,0.10912981455064194,3.2,0.13338088445078458,-1.1414634146341462
0.09482129832239242,-0.3999999999999999,,,,0.21045592705167174,-0.2146341463414635,-0.3410083496845299,4.0,,0.2867332382310984,4.300000000000001,0.0021398002853067048,-0.7731707317073169
0.09567225869195235,-0.19999999999999996,,,,0.203161094224924,-0.05853658536585371,-0.6249174747641094,5.0,,0.29885877318116977,5.4,0.009272467902995721,-0.4048780487804877
0.1311694626793095,0.0,,,,0.16486322188449848,0.09756097560975607,-0.714757333245158,6.0,,0.13338088445078458,6.5,0.017118402282453638,-0.03658536585365857
0.1649647459275468,0.20000000000000018,,,,0.12778115501519757,0.25365853658536575,-0.6079346534755741,7.0,,0.06276747503566334,7.6000000000000005,0.0028530670470756064,0.331707317073171
0.1362752248966691,0.40000000000000013,,,,0.04595744680851064,0.40975609756097564,-0.35112584113014755,8.0,,0.04136947218259629,8.700000000000001,0.06633380884450785,0.7000000000000002
0.051543885241915874,0.6000000000000001,,,,0.009848024316109422,0.5658536585365853,-0.021120898029346385,9.0,,0.018544935805991442,9.8,0.318830242510699,1.0682926829268293
0.005227327984439581,0.8,,,,0.000851063829787234,0.721951219512195,0.29274152157968686,10.0,,0.012125534950071327,10.9,0.09914407988587731,1.4365853658536585
,1.0,,,,,0.8780487804878049,0.5101998909012896,11.0,,,12.0,,1.8048780487804876
,,,,,,,0.584320497233085,12.0,,,,,
,,,,,,,0.509715330819633,13.0,,,,,
,,,,,,,0.3209865991188911,14.0,,,,,
,,,,,,,0.08016437753692184,15.0,,,,,
,,,,,,,-0.14110795561780354,16.0,,,,,
,,,,,,,-0.2833521591088154,17.0,,,,,
,,,,,,,-0.31566752794513125,18.0,,,,,
,,,,,,,-0.2429484088326368,19.0,,,,,
,,,,,,,-0.10141356558017903,20.0,,,,,
,,,,,,,0.05636465311667875,21.0,,,,,
,,,,,,,0.18036919719413894,22.0,,,,,
,,,,,,,0.23655693325912658,23.0,,,,,
,,,,,,,0.21695689525451262,24.0,,,,,
,,,,,,,0.13941580092235215,25.0,,,,,
,,,,,,,0.03864916271389636,26.0,,,,,
,,,,,,,-0.0464590081226584,27.0,,,,,
,,,,,,,-0.0862873606986668,28.0,,,,,
,,,,,,,-0.07086346643832403,29.0,,,,,
,,,,,,,-0.012103455975585195,30.0,,,,,
,,,,,,,0.0648525927471567,31.0,,,,,
,,,,,,,0.13173930206584855,32.0,,,,,
,,,,,,,0.16494516236003895,33.0,,,,,
,,,,,,,0.1530030444125154,34.0,,,,,
,,,,,,,0.0981319334851596,35.0,,,,,
,,,,,,,0.016507085728537683,36.0,,,,,
,,,,,,,-0.06668060097740836,37.0,,,,,
,,,,,,,-0.1248725817475738,38.0,,,,,
,,,,,,,-0.13838881093264555,39.0,,,,,
