time, color, angle
14770, 62, 50
14814, 55, 50
14854, 38, -50
14896, 16, -50
14936, 9, -50
14976, 7, -50
15016, 14, -50
15056, 47, 50
15096, 68, 50
15136, 70, 50
15176, 70, 50
15216, 70, 50
15259, 70, 50
15305, 68, 50
15346, 54, 50
15386, 33, -50
15426, 17, -50
15467, 7, -50
15507, 6, -50
15548, 9, -50
15589, 41, 50
15634, 66, 50
15677, 68, 50
15717, 71, 50
15757, 69, 50
15798, 64, 50
15846, 54, 50
15886, 38, -50
15927, 18, -50
15967, 10, -50
16009, 9, -50
16050, 25, -50
16090, 59, 50
16134, 67, 50
16175, 69, 50
16216, 70, 50
16257, 68, 50
16297, 69, 50
16337, 67, 50
16379, 56, 50
16419, 34, -50
16460, 14, -50
16504, 6, -50
16545, 5, -50
16586, 11, -50
16626, 47, 50
16667, 70, 50
16710, 73, 50
16754, 74, 50
16796, 73, 50
16837, 72, 50
16878, 64, 50
16919, 37, -50
16964, 18, -50
17005, 8, -50
17046, 5, -50
17087, 16, -50
17127, 63, 50
17167, 74, 50
17208, 75, 50
17248, 72, 50
17288, 76, 50
17329, 75, 50
17369, 71, 50
17409, 49, 50
17449, 32, -50
17489, 21, -50
17534, 15, -50
17575, 11, -50
17615, 11, -50
17657, 23, -50
17700, 53, 50
17744, 69, 50
17785, 70, 50
17826, 71, 50
17866, 70, 50
17906, 69, 50
17947, 60, 50
17987, 44, 50
18028, 22, -50
18076, 6, -50
18118, 5, -50
18159, 5, -50
18204, 5, -50
18245, 23, -50
18286, 52, 50
18327, 68, 50
18373, 72, 50
18415, 72, 50
18456, 72, 50
18497, 73, 50
18537, 64, 50
18578, 30, -50
18619, 12, -50
18659, 8, -50
18699, 7, -50
18739, 13, -50
18779, 45, 50
18819, 62, 50
18860, 67, 50
18906, 68, 50
18946, 66, 50
18987, 62, 50
19028, 58, 50
19069, 41, 50
19109, 26, -50
19149, 10, -50
19189, 5, -50
19229, 5, -50
19270, 5, -50
19314, 14, -50
19356, 47, 50
19396, 63, 50
19436, 69, 50
19476, 70, 50
19524, 69, 50
19564, 68, 50
19605, 63, 50
19646, 46, 50
19686, 25, -50
19726, 15, -50
19767, 7, -50
19807, 6, -50
19848, 7, -50
19888, 32, -50
19928, 58, 50
19976, 66, 50
20017, 66, 50
20058, 66, 50
20098, 65, 50
20145, 66, 50
20186, 63, 50
20226, 59, 50
20266, 43, 50
20307, 22, -50
20348, 11, -50
20389, 6, -50
20434, 5, -50
20476, 6, -50
20517, 26, -50
20557, 54, 50
20597, 67, 50
20638, 69, 50
20679, 70, 50
20719, 70, 50
20764, 71, 50
20806, 71, 50
20846, 63, 50
20888, 43, 50
20929, 27, -50
20969, 11, -50
21009, 6, -50
21055, 5, -50
21097, 11, -50
21137, 39, -50
21177, 62, 50
21219, 73, 50
21266, 75, 50
21307, 75, 50
21347, 74, 50
21387, 73, 50
21428, 73, 50
21468, 71, 50
21508, 62, 50
21548, 35, -50
21588, 15, -50
21629, 11, -50
21673, 8, -50
21715, 17, -50
21756, 49, 50
21796, 70, 50
21836, 68, 50
21882, 70, 50
21925, 72, 50
21966, 73, 50
22010, 73, 50
22055, 52, 50
22096, 31, -50
22137, 9, -50
22177, 5, -50
22218, 5, -50
22258, 5, -50
22298, 23, -50
22338, 59, 50
22378, 73, 50
22419, 74, 50
22463, 74, 50
22505, 73, 50
22546, 72, 50
22587, 68, 50
22632, 57, 50
22675, 36, -50
22715, 20, -50
22755, 9, -50
22795, 6, -50
22836, 8, -50
22876, 32, -50
22917, 58, 50
22957, 65, 50
22998, 67, 50
23039, 67, 50
23084, 66, 50
23125, 65, 50
23166, 62, 50
23207, 46, 50
23248, 30, -50
23288, 14, -50
23328, 5, -50
23375, 5, -50
23415, 5, -50
23456, 24, -50
23496, 41, 50
23536, 52, 50
23576, 60, 50
23616, 64, 50
23658, 59, 50
23698, 50, 50
23739, 39, -50
23779, 23, -50
23819, 15, -50
23859, 8, -50
23899, 15, -50
23939, 36, -50
23984, 52, 50
24024, 61, 50
24065, 62, 50
24106, 62, 50
24146, 62, 50
24186, 63, 50
24229, 57, 50
24270, 41, 50
24315, 21, -50
24355, 7, -50
24395, 4, -50
24435, 4, -50
24476, 5, -50
24517, 6, -50
24557, 20, -50
24605, 43, 50
24645, 59, 50
24686, 63, 50
24727, 64, 50
24768, 61, 50
24808, 55, 50
24849, 40, 0
24890, 24, -50
24934, 14, -50
24975, 9, -50
25015, 12, -50
25055, 26, -50
25096, 49, 50
25136, 65, 50
25177, 68, 50
25220, 70, 50
25265, 71, 50
25305, 72, 50
25350, 57, 50
25394, 30, -50
25435, 13, -50
25475, 8, -50
25516, 9, -50
25557, 4, -50
25597, 11, -50
25638, 23, -50
25687, 44, 50
25727, 60, 50
25768, 63, 50
25808, 66, 50
25849, 64, 50
25893, 60, 50
25934, 41, 50
25975, 20, -50
26015, 9, -50
26056, 4, -50
26097, 5, -50
26138, 8, -50
26178, 25, -50
26218, 45, 50
26258, 61, 50
26299, 69, 50
26343, 72, 50
26385, 66, 50
26425, 52, 50
26465, 30, -50
26506, 17, -50
26546, 8, -50
26586, 6, -50
26634, 11, -50
26675, 38, -50
26715, 61, 50
26755, 64, 50
26795, 71, 50
26838, 71, 50
26882, 68, 50
26925, 61, 50
26965, 39, -50
27006, 19, -50
27046, 8, -50
27087, 5, -50
27128, 6, -50
27169, 20, -50
27209, 52, 50
27249, 68, 50
27296, 74, 50
27338, 74, 50
27379, 74, 50
27420, 70, 50
27460, 49, 50
27504, 21, -50
27545, 7, -50
27585, 5, -50
27625, 5, -50
27665, 5, -50
27705, 6, -50
27746, 19, -50
27787, 46, 50
27828, 62, 50
27868, 71, 50
27908, 72, 50
27950, 71, 50
27994, 63, 50
28035, 35, -50
28076, 14, -50
28116, 6, -50
28156, 5, -50
28196, 6, -50
28240, 22, -50
28285, 54, 50
28327, 63, 50
28368, 69, 50
28409, 69, 50
28450, 71, 50
28490, 71, 50
28531, 56, 50
28577, 35, -50
28618, 20, -50
28660, 12, -50
28703, 11, -50
28745, 16, -50
28786, 36, -50
28826, 52, 50
28866, 57, 50
28907, 64, 50
28948, 64, 50
28989, 63, 50
29034, 61, 50
29075, 50, 50
29115, 29, -50
29155, 15, -50
29196, 5, -50
29236, 5, -50
29276, 8, -50
29316, 19, -50
29358, 38, -50
29399, 48, 50
29440, 62, 50
29480, 69, 50
29525, 71, 50
29565, 67, 50
29606, 59, 50
29650, 35, -50
29696, 18, -50
29739, 6, -50
29782, 6, -50
29825, 6, -50
29866, 28, -50
29906, 49, 50
29955, 65, 50
29996, 73, 50
30037, 73, 50
30078, 75, 50
30118, 69, 50
30158, 35, -50
30198, 14, -50
30239, 6, -50
30283, 5, -50
30325, 8, -50
30366, 24, -50
30407, 57, 50
30448, 73, 50
30488, 77, 50
30529, 77, 50
30569, 76, 50
30610, 72, 50
30654, 52, 50
30695, 26, -50
30735, 10, -50
30775, 6, -50
30816, 5, -50
30857, 5, -50
30898, 10, -50
30938, 34, -50
30986, 62, 50
31027, 73, 50
31067, 77, 50
31108, 78, 50
31148, 77, 50
31188, 77, 50
31230, 66, 50
31270, 45, 50
31310, 19, -50
31350, 7, -50
31394, 5, -50
31435, 5, -50
31486, 5, -50
31527, 7, -50
31568, 23, -50
31609, 41, 50
31649, 63, 50
31689, 73, 50
31729, 73, 50
31770, 70, 50
31815, 63, 50
31856, 41, 50
31897, 20, -50
31938, 9, -50
31985, 5, -50
32026, 5, -50
32067, 12, -50
32110, 30, -50
32155, 41, 50
32196, 56, 50
32236, 65, 50
32276, 66, 50
32317, 63, 50
32357, 58, 50
32398, 38, -50
32439, 16, -50
32483, 11, -50
32529, 6, -50
32573, 14, -50
32615, 36, -50
32657, 50, 50
32698, 65, 50
32738, 67, 50
32778, 69, 50
32818, 68, 50
32858, 67, 50
32899, 59, 50
32940, 33, -50
32980, 11, -50
33022, 6, -50
33065, 5, -50
33106, 9, -50
