time, color, angle
0, 63, 40
41, 62, 40
83, 62, 40
123, 61, 40
163, 60, 40
208, 47, 40
248, 42, 40
289, 32, -40
329, 22, -40
370, 12, -40
411, 10, -40
452, 15, -40
493, 31, -40
533, 45, 40
577, 49, 40
618, 55, 40
658, 55, 40
698, 50, 40
739, 45, 40
779, 29, -40
819, 18, -40
867, 11, -40
908, 7, -40
949, 15, -40
990, 27, -40
1033, 36, -40
1073, 49, 40
1118, 58, 40
1158, 61, 40
1198, 60, 40
1238, 60, 40
1278, 59, 40
1320, 55, 40
1360, 44, 40
1401, 28, -40
1441, 17, -40
1482, 7, -40
1526, 6, -40
1569, 9, -40
1610, 18, -40
1651, 34, -40
1699, 48, 40
1742, 58, 40
1784, 62, 40
1825, 64, 40
1866, 60, 40
1910, 54, 40
1953, 39, -40
1994, 23, -40
2038, 11, -40
2079, 8, -40
2120, 12, -40
2161, 33, -40
2202, 60, 40
2243, 72, 40
2289, 76, 40
2331, 76, 40
2372, 75, 40
2412, 72, 40
2452, 59, 40
2493, 43, 40
2533, 27, -40
2573, 8, -40
2617, 5, -40
2658, 5, -40
2698, 6, -40
2741, 13, -40
2781, 25, -40
2828, 45, 40
2869, 64, 40
2909, 70, 40
2949, 71, 40
2990, 65, 40
3030, 54, 40
3071, 39, -40
3112, 23, -40
3152, 13, -40
3192, 9, -40
3232, 13, -40
3273, 27, -40
3317, 44, 40
3358, 58, 40
3399, 66, 40
3440, 68, 40
3481, 63, 40
3522, 51, 40
3562, 38, -40
3602, 22, -40
3647, 10, -40
3688, 7, -40
3728, 15, -40
3768, 33, -40
3808, 53, 40
3852, 69, 40
3893, 74, 40
3933, 80, 40
3976, 78, 40
4018, 69, 40
4059, 49, 40
4100, 27, -40
4148, 8, -40
4189, 5, -40
4230, 6, -40
4271, 10, -40
4312, 29, -40
4356, 52, 40
4398, 74, 40
4439, 80, 40
4480, 80, 40
4521, 73, 40
4561, 56, 40
4601, 34, -40
4641, 12, -40
4687, 7, -40
4728, 6, -40
4769, 11, -40
4809, 27, -40
4850, 49, 40
4891, 68, 40
4931, 77, 40
4971, 78, 40
5012, 75, 40
5052, 72, 40
5093, 54, 40
5137, 27, -40
5178, 13, -40
5219, 6, -40
5260, 5, -40
5300, 6, -40
5340, 11, -40
5380, 23, -40
5421, 37, -40
5462, 48, 40
5503, 58, 40
5543, 62, 40
5584, 62, 40
5629, 59, 40
5670, 51, 40
5710, 43, 40
5753, 34, -40
5797, 20, -40
5838, 13, -40
5879, 10, -40
5919, 18, -40
5960, 36, -40
6001, 50, 40
6042, 58, 40
6082, 63, 40
6123, 69, 40
6163, 65, 40
6207, 61, 40
6248, 47, 40
6292, 31, -40
6333, 20, -40
6378, 16, -40
6419, 19, -40
6460, 20, -40
6503, 42, 40
6548, 54, 40
6588, 62, 40
6628, 62, 40
6668, 53, 40
6709, 31, -40
6750, 21, -40
6791, 11, -40
6832, 9, -40
6873, 14, -40
6916, 36, -40
6959, 56, 40
7000, 65, 40
7040, 70, 40
7081, 70, 40
7121, 69, 40
7161, 64, 40
7202, 53, 40
7247, 37, -40
7288, 17, -40
7328, 7, -40
7368, 5, -40
7408, 9, -40
7448, 23, -40
7492, 43, 40
7532, 53, 40
7572, 61, 40
7613, 65, 40
7657, 55, 40
7698, 35, -40
7738, 19, -40
7778, 9, -40
7818, 6, -40
7859, 9, -40
7906, 30, -40
7946, 57, 40
7988, 69, 40
8029, 76, 40
8071, 76, 40
8113, 76, 40
8153, 74, 40
8198, 59, 40
8238, 38, -40
8278, 17, -40
8318, 6, -40
8359, 5, -40
8399, 6, -40
8439, 16, -40
8486, 37, -40
8528, 54, 40
8569, 69, 40
8610, 73, 40
8653, 74, 40
8696, 71, 40
8738, 66, 40
8779, 54, 40
8819, 38, -40
8867, 16, -40
8908, 9, -40
8948, 8, -40
8988, 19, -40
9031, 39, -40
9071, 56, 40
9115, 65, 40
9158, 72, 40
9198, 72, 40
9245, 67, 40
9288, 54, 40
9329, 32, -40
9369, 16, -40
9410, 8, -40
9451, 7, -40
9491, 14, -40
9531, 31, -40
9571, 50, 40
9612, 59, 40
9652, 61, 40
9696, 69, 40
9738, 60, 40
9779, 44, 40
9820, 22, -40
9861, 15, -40
9903, 8, -40
9943, 5, -40
9984, 8, -40
10028, 22, -40
10069, 44, 40
10112, 60, 40
10155, 69, 40
10199, 70, 40
10240, 68, 40
10280, 63, 40
10320, 52, 40
10361, 37, -40
10402, 25, -40
10442, 20, -40
10482, 14, -40
10522, 22, -40
10563, 48, 40
10607, 59, 40
10648, 63, 40
10689, 65, 40
10729, 62, 40
10770, 59, 40
10810, 56, 40
10850, 48, 40
10890, 33, -40
10930, 13, -40
10971, 6, -40
11012, 5, -40
11052, 10, -40
11094, 32, -40
11141, 51, 40
11187, 61, 40
11228, 63, 40
11268, 62, 40
11308, 62, 40
11348, 61, 40
11388, 58, 40
11429, 53, 40
11470, 45, 40
11510, 36, -40
11551, 25, -40
11591, 18, -40
11632, 15, -40
11672, 31, -40
11717, 52, 40
11758, 63, 40
11798, 66, 40
11838, 66, 40
11879, 66, 40
11921, 66, 40
11961, 64, 40
12004, 61, 40
12048, 51, 40
12088, 35, -40
12129, 18, -40
12171, 14, -40
12211, 13, -40
12251, 32, -40
12298, 67, 40
12339, 72, 40
12379, 71, 40
12420, 72, 40
12460, 71, 40
12500, 70, 40
12541, 68, 40
12581, 66, 40
12621, 62, 40
12661, 51, 40
12701, 30, -40
12741, 19, -40
12781, 12, -40
12822, 10, -40
12867, 31, -40
12908, 58, 40
12949, 68, 40
12993, 70, 40
13033, 69, 40
13078, 70, 40
13119, 70, 40
13163, 66, 40
13203, 55, 40
13249, 39, -40
13290, 18, -40
13330, 8, -40
13371, 5, -40
13412, 14, -40
13452, 48, 40
13492, 70, 40
13532, 75, 40
13577, 79, 40
13618, 78, 40
13659, 79, 40
13699, 76, 40
13741, 68, 40
13782, 57, 40
13823, 31, -40
13863, 18, -40
13908, 10, -40
13949, 7, -40
13990, 15, -40
14031, 41, 40
14072, 53, 40
14112, 64, 40
14152, 68, 40
14196, 57, 40
14236, 47, 40
14280, 32, -40
14324, 21, -40
14368, 11, -40
14408, 8, -40
14448, 18, -40
14489, 38, -40
14530, 59, 40
14573, 69, 40
14617, 70, 40
14658, 69, 40
14699, 69, 40
14740, 70, 40
14780, 68, 40
14821, 62, 40
14861, 48, 40
14902, 27, -40
14943, 15, -40
14983, 8, -40
15027, 7, -40
15068, 14, -40
15108, 30, -40
15150, 57, 40
15190, 67, 40
15231, 69, 40
15271, 68, 40
15311, 68, 40
15351, 66, 40
15392, 61, 40
15436, 55, 40
15479, 35, -40
15524, 14, -40
15568, 8, -40
15608, 6, -40
15649, 12, -40
15690, 40, 0
15731, 61, 40
15772, 64, 40
15812, 68, 40
15852, 65, 40
15893, 61, 40
15934, 52, 40
15975, 42, 40
16015, 26, -40
16058, 18, -40
16098, 11, -40
16138, 11, -40
16178, 19, -40
16219, 44, 40
16260, 59, 40
16301, 65, 40
16349, 66, 40
16390, 64, 40
16430, 59, 40
16470, 53, 40
16511, 43, 40
16551, 22, -40
16598, 12, -40
16638, 7, -40
16678, 6, -40
16718, 16, -40
16758, 34, -40
16803, 56, 40
16847, 62, 40
16889, 67, 40
16930, 67, 40
16971, 67, 40
17012, 67, 40
17057, 68, 40
17098, 69, 40
17138, 64, 40
17178, 42, 40
17218, 26, -40
17259, 16, -40
17308, 9, -40
17348, 12, -40
17389, 33, -40
17429, 61, 40
17469, 71, 40
17509, 72, 40
17550, 72, 40
17590, 71, 40
17631, 72, 40
17672, 70, 40
17712, 67, 40
17757, 57, 40
17798, 30, -40
17839, 14, -40
17879, 7, -40
17924, 8, -40
17968, 18, -40
18009, 50, 40
18050, 71, 40
18091, 75, 40
18132, 80, 40
18173, 77, 40
18215, 77, 40
18258, 70, 40
18298, 62, 40
18350, 59, 40
18393, 50, 40
18435, 29, -40
18479, 15, -40
18519, 10, -40
18559, 10, -40
18600, 15, -40
18640, 47, 40
18681, 66, 40
18722, 70, 40
18762, 71, 40
18803, 69, 40
18843, 66, 40
18887, 60, 40
18928, 45, 40
18969, 35, -40
19010, 19, -40
19050, 10, -40
19090, 9, -40
19131, 21, -40
19172, 53, 40
19216, 67, 40
19259, 69, 40
19300, 67, 40
19340, 64, 40
19384, 55, 40
19425, 46, 40
19469, 31, -40
19509, 15, -40
19551, 8, -40
19592, 6, -40
19633, 16, -40
19678, 31, -40
19719, 47, 40
19759, 59, 40
19799, 67, 40
19839, 67, 40
19879, 65, 40
19920, 62, 40
19960, 57, 40
20001, 45, 40
20042, 35, -40
20087, 25, -40
20128, 13, -40
20168, 11, -40
20208, 16, -40
20249, 37, -40
20292, 50, 40
20333, 59, 40
20374, 66, 40
20417, 66, 40
20457, 64, 40
20498, 63, 40
20539, 58, 40
20580, 45, 40
20621, 22, -40
20662, 11, -40
20702, 6, -40
20743, 5, -40
20787, 5, -40
20828, 19, -40
20869, 35, -40
20909, 45, 40
20949, 57, 40
20989, 62, 40
21029, 63, 40
21069, 61, 40
21109, 60, 40
21149, 54, 40
21189, 44, 40
21229, 28, -40
21269, 13, -40
21310, 6, -40
21350, 5, -40
21390, 9, -40
21430, 16, -40
21470, 29, -40
21511, 41, 40
21551, 54, 40
21591, 61, 40
21633, 62, 40
21677, 55, 40
21718, 49, 40
21759, 39, -40
21800, 33, -40
21840, 17, -40
21880, 19, -40
21920, 34, -40
21961, 54, 40
22002, 63, 40
22042, 65, 40
22082, 67, 40
22126, 65, 40
22168, 57, 40
22208, 48, 40
22248, 32, -40
22288, 17, -40
22329, 8, -40
22373, 8, -40
22415, 23, -40
22458, 44, 40
22499, 58, 40
22539, 65, 40
22579, 65, 40
22620, 57, 40
22660, 41, 40
22701, 25, -40
22742, 14, -40
22782, 8, -40
22826, 7, -40
22868, 15, -40
22908, 35, -40
22949, 51, 40
22990, 60, 40
23031, 66, 40
23072, 65, 40
23112, 56, 40
23153, 42, 40
23198, 26, -40
23238, 17, -40
23279, 8, -40
23320, 6, -40
23360, 8, -40
23400, 13, -40
23440, 34, -40
23481, 50, 40
23522, 66, 40
23567, 73, 40
23609, 73, 40
23650, 70, 40
23690, 65, 40
23730, 54, 40
23771, 38, -40
23812, 22, -40
23852, 11, -40
23896, 7, -40
23939, 14, -40
23980, 27, -40
24021, 41, 40
24062, 61, 40
24102, 68, 40
24142, 72, 40
24182, 71, 40
24223, 66, 40
24263, 44, 40
24307, 27, -40
24348, 10, -40
24389, 6, -40
24429, 6, -40
24469, 6, -40
24509, 10, -40
24549, 24, -40
24590, 39, -40
24633, 60, 40
24673, 66, 40
24717, 70, 40
24761, 69, 40
24802, 69, 40
24843, 65, 40
24883, 58, 40
24928, 52, 40
24969, 27, -40
25009, 16, -40
25049, 11, -40
25089, 8, -40
25129, 15, -40
25170, 30, -40
25211, 53, 40
25251, 57, 40
25292, 65, 40
25333, 64, 40
25377, 62, 40
25418, 54, 40
25458, 44, 40
25498, 33, -40
25538, 17, -40
25578, 10, -40
25619, 7, -40
25660, 10, -40
25700, 25, -40
25740, 41, 40
25781, 51, 40
25822, 59, 40
25867, 58, 40
25908, 49, 40
25948, 28, -40
25990, 17, -40
26032, 9, -40
26077, 8, -40
26118, 11, -40
26159, 31, -40
26200, 48, 40
26240, 61, 40
26281, 69, 40
26322, 71, 40
26363, 68, 40
26407, 60, 40
26449, 41, 40
26489, 20, -40
26529, 6, -40
26570, 5, -40
26610, 5, -40
26651, 5, -40
26695, 10, -40
26738, 19, -40
26778, 35, -40
26821, 56, 40
26862, 69, 40
26903, 73, 40
26948, 74, 40
26989, 72, 40
27030, 66, 40
27070, 55, 40
27111, 39, -40
27151, 17, -40
27195, 9, -40
27239, 6, -40
27280, 8, -40
27320, 24, -40
27361, 40, 0
27401, 57, 40
27441, 63, 40
27481, 68, 40
27522, 62, 40
27563, 47, 40
27607, 26, -40
27649, 16, -40
27690, 9, -40
27731, 9, -40
27772, 25, -40
27812, 46, 40
27853, 58, 40
27893, 65, 40
27939, 66, 40
27979, 59, 40
28021, 45, 40
28068, 23, -40
28109, 13, -40
28150, 7, -40
28191, 7, -40
28232, 15, -40
28272, 36, -40
28312, 52, 40
28352, 68, 40
28392, 73, 40
28437, 75, 40
28478, 64, 40
28519, 48, 40
28567, 29, -40
28608, 18, -40
28649, 8, -40
28689, 7, -40
28730, 13, -40
28773, 24, -40
28817, 46, 40
28858, 59, 40
28898, 62, 40
28939, 66, 40
28980, 64, 40
29020, 52, 40
29061, 31, -40
29102, 15, -40
29142, 8, -40
29182, 6, -40
29223, 9, -40
29263, 21, -40
29307, 48, 40
29348, 64, 40
29388, 68, 40
29428, 71, 40
29470, 67, 40
29511, 63, 40
29552, 49, 40
29592, 34, -40
29633, 11, -40
29673, 7, -40
29717, 5, -40
29758, 10, -40
29798, 21, -40
29841, 37, -40
29882, 50, 40
29927, 64, 40
29968, 68, 40
30008, 70, 40
30049, 71, 40
30089, 69, 40
30129, 59, 40
30170, 44, 40
30211, 30, -40
30252, 14, -40
30293, 5, -40
30337, 5, -40
30380, 5, -40
30425, 11, -40
30468, 24, -40
30508, 40, 0
30549, 60, 40
30589, 67, 40
30629, 69, 40
30670, 64, 40
30710, 55, 40
30750, 38, -40
30791, 23, -40
30831, 14, -40
30871, 12, -40
30913, 26, -40
30953, 54, 40
30997, 68, 40
31038, 72, 40
31079, 73, 40
31121, 67, 40
31161, 58, 40
31203, 42, 40
31249, 22, -40
31290, 14, -40
31330, 7, -40
31372, 6, -40
31412, 8, -40
31453, 30, -40
31493, 51, 40
31538, 62, 40
31580, 72, 40
31622, 71, 40
31663, 68, 40
31705, 51, 40
31748, 29, -40
31788, 20, -40
31828, 14, -40
31869, 10, -40
31909, 11, -40
31950, 17, -40
31991, 28, -40
32033, 49, 40
32074, 72, 40
32117, 78, 40
32161, 78, 40
32201, 79, 40
32242, 79, 40
32283, 64, 40
32328, 37, -40
32368, 15, -40
32408, 6, -40
32449, 6, -40
32489, 6, -40
32531, 16, -40
32571, 37, -40
32612, 59, 40
32653, 75, 40
32697, 79, 40
32738, 78, 40
32783, 77, 40
32827, 72, 40
32868, 48, 40
32909, 26, -40
32949, 12, -40
32989, 7, -40
33030, 6, -40
33071, 11, -40
33111, 27, -40
33151, 58, 40
33191, 69, 40
33232, 78, 40
33272, 79, 40
33312, 75, 40
33356, 67, 40
33398, 46, 40
33438, 30, -40
33478, 17, -40
33519, 7, -40
33560, 6, -40
33601, 12, -40
33648, 34, -40
33689, 55, 40
33729, 66, 40
33778, 77, 40
33818, 75, 40
33859, 71, 40
33899, 58, 40
33941, 37, -40
33992, 15, -40
34038, 7, -40
34079, 7, -40
34119, 19, -40
34160, 45, 40
34200, 61, 40
34242, 68, 40
34286, 69, 40
34328, 54, 40
34368, 33, -40
34408, 17, -40
34449, 10, -40
34490, 8, -40
34530, 14, -40
34571, 36, -40
34612, 57, 40
34657, 66, 40
34698, 71, 40
34738, 73, 40
34778, 65, 40
34819, 44, 40
34860, 23, -40
34901, 9, -40
34941, 6, -40
34983, 5, -40
35027, 9, -40
35068, 25, -40
35109, 50, 40
35149, 63, 40
35189, 67, 40
35229, 73, 40
35270, 70, 40
35311, 60, 40
35352, 39, -40
35392, 23, -40
35436, 14, -40
35478, 12, -40
35519, 19, -40
35559, 41, 40
35603, 57, 40
35644, 63, 40
35684, 66, 40
35725, 54, 40
35768, 31, -40
35809, 20, -40
35849, 9, -40
35889, 9, -40
35930, 16, -40
35971, 34, -40
36014, 56, 40
36055, 64, 40
36098, 72, 40
36139, 73, 40
36179, 70, 40
36219, 62, 40
36259, 49, 40
36299, 28, -40
36339, 17, -40
36380, 6, -40
36420, 6, -40
36461, 12, -40
36503, 33, -40
36547, 44, 40
36588, 56, 40
36628, 65, 40
36668, 64, 40
36709, 56, 40
36750, 41, 40
36791, 30, -40
36831, 19, -40
36872, 8, -40
36912, 7, -40
36953, 16, -40
36993, 32, -40
37038, 43, 40
37079, 56, 40
37120, 65, 40
37160, 65, 40
37201, 58, 40
37245, 38, -40
37288, 25, -40
37329, 17, -40
37370, 15, -40
37410, 25, -40
37450, 46, 40
37494, 57, 40
37537, 62, 40
37578, 62, 40
37621, 56, 40
37661, 34, -40
37702, 24, -40
37743, 13, -40
37787, 8, -40
37828, 12, -40
37868, 27, -40
37909, 43, 40
37950, 60, 40
37990, 66, 40
38031, 67, 40
38078, 67, 40
38118, 64, 40
38159, 52, 40
38200, 33, -40
38241, 17, -40
38282, 5, -40
38322, 6, -40
38362, 9, -40
38403, 29, -40
38443, 51, 40
38488, 67, 40
38529, 69, 40
38569, 67, 40
38610, 65, 40
38650, 60, 40
38691, 47, 40
38731, 31, -40
38771, 19, -40
38812, 11, -40
38853, 9, -40
38898, 14, -40
38939, 35, -40
38980, 57, 40
39021, 65, 40
39062, 70, 40
39106, 70, 40
39148, 69, 40
39189, 67, 40
39232, 61, 40
39273, 48, 40
39313, 37, -40
39357, 19, -40
39398, 10, -40
39439, 7, -40
39479, 14, -40
39519, 35, -40
39559, 50, 40
39601, 57, 40
39642, 62, 40
39683, 62, 40
39725, 60, 40
39769, 55, 40
39809, 49, 40
39849, 41, 40
39889, 31, -40
39930, 19, -40
39970, 11, -40
40012, 10, -40
40052, 19, -40
40092, 41, 40
40132, 53, 40
40176, 60, 40
40218, 61, 40
40259, 59, 40
40299, 55, 40
40339, 50, 40
40380, 44, 40
40421, 30, -40
40462, 15, -40
40502, 12, -40
40542, 8, -40
40582, 21, -40
40623, 48, 40
40667, 64, 40
40708, 68, 40
40748, 68, 40
40788, 68, 40
40828, 66, 40
40868, 51, 40
40909, 41, 40
40950, 21, -40
40991, 11, -40
41031, 6, -40
41071, 6, -40
41111, 9, -40
41151, 31, -40
41192, 61, 40
41237, 76, 40
41278, 77, 40
41319, 77, 40
41360, 77, 40
41406, 77, 40
41449, 77, 40
41490, 78, 40
41531, 70, 40
41572, 49, 40
41613, 33, -40
41653, 19, -40
41698, 16, -40
41739, 15, -40
41780, 32, -40
41821, 59, 40
41862, 73, 40
41903, 75, 40
41947, 75, 40
41989, 74, 40
42030, 73, 40
42071, 70, 40
42112, 63, 40
42152, 48, 40
42192, 26, -40
42232, 16, -40
42272, 10, -40
42312, 8, -40
42352, 16, -40
42392, 51, 40
42433, 78, 40
42473, 83, 40
42517, 81, 40
42558, 75, 40
42599, 73, 40
42639, 61, 40
42679, 52, 40
42719, 36, -40
42759, 18, -40
42800, 18, -40
42840, 15, -40
42881, 19, -40
42922, 30, -40
42962, 57, 40
43008, 71, 40
43048, 75, 40
43089, 76, 40
43129, 74, 40
43169, 69, 40
43209, 62, 40
43249, 47, 40
43291, 31, -40
43332, 17, -40
43373, 11, -40
43417, 10, -40
43458, 30, -40
43498, 59, 40
43538, 69, 40
43578, 71, 40
43622, 72, 40
43667, 69, 40
43708, 53, 40
43749, 42, 40
43790, 29, -40
43830, 19, -40
43871, 9, -40
43913, 12, -40
43957, 39, -40
43998, 62, 40
44039, 66, 40
44079, 69, 40
44119, 69, 40
44159, 67, 40
44199, 62, 40
44242, 53, 40
44283, 47, 40
44325, 38, -40
44368, 30, -40
44411, 20, -40
44451, 20, -40
44492, 39, -40
44532, 55, 40
44572, 64, 40
44613, 66, 40
44657, 67, 40
44698, 67, 40
44738, 67, 40
44778, 66, 40
44819, 60, 40
44861, 54, 40
44901, 37, -40
44942, 23, -40
44982, 13, -40
45022, 14, -40
45062, 29, -40
45107, 56, 40
45148, 66, 40
45189, 68, 40
45236, 67, 40
45278, 66, 40
45318, 66, 40
45360, 62, 40
45400, 57, 40
45440, 46, 40
45487, 31, -40
45529, 15, -40
45569, 8, -40
45609, 7, -40
45649, 10, -40
45689, 37, -40
45729, 54, 40
45770, 66, 40
45810, 68, 40
45851, 68, 40
45891, 68, 40
45931, 69, 40
45972, 70, 40
46012, 69, 40
46052, 62, 40
46093, 40, 0
46138, 19, -40
46179, 11, -40
46221, 11, -40
46262, 22, -40
46305, 56, 40
46348, 73, 40
46389, 73, 40
46433, 73, 40
46474, 74, 40
46517, 75, 40
46558, 71, 40
46599, 66, 40
46639, 57, 40
46679, 33, -40
46719, 17, -40
46759, 10, -40
46803, 10, -40
46848, 33, -40
46889, 66, 40
46930, 70, 40
46971, 58, 40
47011, 55, 40
47052, 62, 40
47096, 72, 40
47138, 73, 40
47178, 66, 40
47219, 66, 40
47259, 57, 40
47300, 45, 40
47341, 29, -40
47383, 21, -40
47427, 10, -40
47470, 10, -40
47510, 19, -40
47551, 42, 40
47593, 59, 40
47638, 64, 40
47678, 65, 40
47718, 62, 40
47759, 58, 40
47800, 52, 40
47841, 38, -40
47882, 21, -40
47923, 16, -40
47968, 11, -40
48009, 28, -40
48050, 54, 40
48090, 64, 40
48131, 66, 40
48172, 64, 40
48212, 64, 40
48256, 61, 40
48298, 52, 40
48339, 36, -40
48380, 21, -40
48421, 10, -40
48461, 8, -40
48501, 23, -40
48542, 44, 40
48582, 58, 40
48626, 65, 40
48668, 66, 40
48708, 64, 40
48748, 52, 40
48789, 36, -40
48830, 20, -40
48871, 13, -40
48912, 10, -40
48952, 16, -40
48992, 32, -40
49032, 48, 40
49073, 55, 40
49117, 62, 40
49158, 65, 40
49198, 64, 40
49241, 62, 40
49281, 56, 40
49328, 45, 40
49369, 25, -40
49410, 14, -40
49451, 6, -40
49492, 4, -40
49533, 6, -40
49577, 13, -40
49619, 24, -40
49662, 37, -40
49705, 58, 40
49748, 70, 40
49789, 74, 40
49829, 74, 40
49869, 73, 40
49909, 73, 40
49949, 70, 40
49989, 65, 40
50030, 45, 40
50070, 25, -40
50111, 13, -40
50152, 6, -40
50197, 6, -40
50239, 11, -40
50280, 26, -40
50325, 42, 40
50367, 63, 40
50408, 73, 40
50449, 72, 40
50489, 66, 40
50530, 62, 40
50573, 48, 40
50617, 26, -40
50658, 14, -40
50699, 11, -40
50740, 11, -40
50784, 7, -40
50827, 21, -40
50869, 37, -40
50909, 53, 40
50950, 63, 40
50990, 68, 40
51031, 69, 40
51073, 66, 40
51113, 62, 40
51153, 51, 40
51196, 31, -40
51243, 12, -40
51288, 6, -40
51329, 7, -40
51370, 10, -40
51413, 26, -40
51458, 48, 40
51498, 65, 40
51538, 70, 40
51578, 74, 40
51619, 68, 40
51659, 58, 40
51701, 36, -40
51745, 16, -40
51787, 9, -40
51828, 7, -40
51868, 29, -40
51909, 69, 40
51950, 77, 40
51990, 81, 40
52031, 81, 40
52075, 75, 40
52118, 59, 40
52159, 38, -40
52203, 16, -40
52243, 8, -40
52287, 7, -40
52328, 12, -40
52369, 32, -40
52409, 59, 40
52452, 74, 40
52494, 80, 40
52535, 81, 40
52578, 74, 40
52619, 58, 40
52659, 36, -40
52699, 20, -40
52739, 10, -40
52779, 9, -40
52819, 18, -40
52861, 50, 40
52902, 72, 40
52943, 77, 40
52984, 74, 40
53029, 58, 40
53069, 33, -40
53111, 17, -40
53151, 10, -40
53191, 8, -40
53231, 16, -40
53271, 39, -40
53313, 60, 40
53353, 67, 40
53394, 71, 40
53438, 71, 40
53478, 69, 40
53518, 62, 40
53558, 52, 40
53599, 31, -40
53640, 14, -40
53683, 7, -40
53724, 7, -40
53768, 18, -40
