time, color, angle
0, 71, 30
41, 71, 30
85, 71, 30
126, 71, 30
167, 70, 30
208, 70, 30
249, 69, 30
294, 68, 30
335, 66, 30
375, 60, 30
415, 49, 30
455, 34, -30
495, 23, -30
535, 16, -30
575, 14, -30
615, 29, -30
655, 45, 30
695, 54, 30
735, 59, 30
775, 55, 30
817, 42, 30
858, 28, -30
902, 22, -30
944, 13, -30
985, 18, -30
1026, 34, -30
1067, 40, 0
1109, 50, 30
1152, 57, 30
1194, 58, 30
1237, 50, 30
1280, 34, -30
1323, 22, -30
1364, 15, -30
1404, 19, -30
1444, 30, -30
1485, 45, 30
1525, 48, 30
1565, 58, 30
1605, 57, 30
1645, 52, 30
1686, 36, -30
1728, 21, -30
1768, 17, -30
1808, 21, -30
1848, 33, -30
1893, 46, 30
1934, 48, 30
1974, 54, 30
2015, 54, 30
2055, 46, 30
2096, 37, -30
2137, 21, -30
2178, 16, -30
2218, 16, -30
2258, 27, -30
2298, 39, -30
2338, 48, 30
2378, 52, 30
2419, 57, 30
2464, 56, 30
2505, 54, 30
2545, 49, 30
2585, 40, 0
2625, 33, -30
2665, 27, -30
2705, 24, -30
2745, 33, -30
2786, 43, 30
2827, 49, 30
2867, 54, 30
2908, 55, 30
2949, 48, 30
2993, 42, 30
3034, 33, -30
3074, 26, -30
3114, 17, -30
3155, 13, -30
3196, 21, -30
3236, 29, -30
3277, 37, -30
3325, 49, 30
3366, 57, 30
3406, 60, 30
3447, 60, 30
3488, 58, 30
3528, 52, 30
3568, 43, 30
3608, 33, -30
3648, 20, -30
3688, 13, -30
3734, 11, -30
3774, 19, -30
3814, 30, -30
3855, 44, 30
3895, 52, 30
3935, 62, 30
3975, 60, 30
4016, 52, 30
4056, 43, 30
4097, 27, -30
4139, 18, -30
4179, 11, -30
4219, 10, -30
4263, 18, -30
4304, 34, -30
4345, 47, 30
4386, 63, 30
4428, 67, 30
4468, 66, 30
4508, 51, 30
4548, 37, -30
4588, 27, -30
4631, 18, -30
4673, 22, -30
4713, 38, -30
4753, 57, 30
4799, 67, 30
4839, 66, 30
4879, 60, 30
4919, 49, 30
4959, 34, -30
4999, 18, -30
5043, 10, -30
5084, 11, -30
5125, 20, -30
5165, 39, -30
5205, 52, 30
5246, 61, 30
5286, 65, 30
5327, 66, 30
5368, 62, 30
5408, 51, 30
5448, 36, -30
5488, 22, -30
5532, 14, -30
5574, 13, -30
5614, 21, -30
5655, 37, -30
5696, 53, 30
5736, 68, 30
5777, 71, 30
5817, 74, 30
5857, 67, 30
5899, 57, 30
5943, 38, -30
5984, 20, -30
6029, 11, -30
6073, 13, -30
6114, 31, -30
6154, 45, 30
6194, 65, 30
6234, 74, 30
6274, 76, 30
6314, 71, 30
6354, 64, 30
6394, 48, 30
6437, 33, -30
6478, 17, -30
6519, 9, -30
6561, 8, -30
6604, 14, -30
6645, 25, -30
6686, 48, 30
6726, 63, 30
6767, 70, 30
6808, 67, 30
6848, 55, 30
6888, 39, -30
6928, 27, -30
6969, 17, -30
7009, 16, -30
7053, 29, -30
7095, 45, 30
7136, 54, 30
7176, 57, 30
7217, 58, 30
7257, 44, 30
7298, 34, -30
7339, 24, -30
7383, 15, -30
7424, 18, -30
7464, 29, -30
7505, 45, 30
7545, 52, 30
7585, 57, 30
7625, 56, 30
7666, 51, 30
7706, 40, 0
7747, 26, -30
7788, 16, -30
7828, 17, -30
7868, 27, -30
7912, 43, 30
7954, 54, 30
7997, 58, 30
8038, 52, 30
8079, 40, 0
8119, 30, -30
8162, 29, -30
8204, 23, -30
8244, 30, -30
8284, 45, 30
8324, 55, 30
8364, 62, 30
8404, 64, 30
8446, 61, 30
8487, 54, 30
8527, 38, -30
8568, 27, -30
8608, 19, -30
8653, 15, -30
8694, 24, -30
8735, 44, 30
8776, 55, 30
8816, 62, 30
8857, 63, 30
8899, 56, 30
8939, 40, 0
8983, 24, -30
9024, 17, -30
9065, 12, -30
9105, 15, -30
9145, 30, -30
9185, 46, 30
9225, 61, 30
9265, 65, 30
9305, 66, 30
9345, 59, 30
9385, 51, 30
9425, 41, 30
9465, 27, -30
9505, 12, -30
9549, 7, -30
9593, 7, -30
9634, 11, -30
9676, 21, -30
9717, 36, -30
9758, 52, 30
9799, 65, 30
9845, 69, 30
9886, 68, 30
9927, 55, 30
9968, 41, 30
10008, 31, -30
10048, 21, -30
10094, 12, -30
10134, 12, -30
10175, 26, -30
10216, 49, 30
10257, 59, 30
10297, 63, 30
10339, 62, 30
10383, 52, 30
10424, 37, -30
10465, 28, -30
10505, 19, -30
10545, 15, -30
10586, 24, -30
10627, 45, 30
10667, 60, 30
10708, 63, 30
10748, 65, 30
10788, 55, 30
10832, 34, -30
10874, 18, -30
10914, 10, -30
10954, 13, -30
10994, 21, -30
11034, 41, 30
11075, 57, 30
11115, 67, 30
11155, 66, 30
11195, 60, 30
11236, 49, 30
11278, 35, -30
11318, 22, -30
11362, 16, -30
11404, 14, -30
11444, 25, -30
11484, 35, -30
11525, 48, 30
11565, 59, 30
11606, 68, 30
11648, 65, 30
11688, 54, 30
11728, 39, -30
11768, 25, -30
11808, 20, -30
11849, 21, -30
11893, 43, 30
11935, 58, 30
11976, 61, 30
12016, 65, 30
12057, 59, 30
12098, 50, 30
12138, 40, 0
12182, 30, -30
12225, 18, -30
12266, 17, -30
12306, 38, -30
12347, 54, 30
12387, 63, 30
12427, 66, 30
12468, 65, 30
12508, 64, 30
12548, 61, 30
12593, 58, 30
12634, 48, 30
12674, 32, -30
12715, 22, -30
12755, 16, -30
12796, 22, -30
12839, 42, 30
12879, 56, 30
12919, 59, 30
12964, 58, 30
13005, 55, 30
13046, 50, 30
13086, 46, 30
13126, 41, 30
13167, 37, -30
13207, 32, -30
13247, 24, -30
13288, 26, -30
13328, 46, 30
13373, 59, 30
13414, 66, 30
13455, 66, 30
13496, 64, 30
13537, 61, 30
13577, 59, 30
13617, 55, 30
13664, 48, 30
13705, 40, 0
13747, 29, -30
13787, 24, -30
13830, 23, -30
13874, 44, 30
13915, 63, 30
13956, 69, 30
14000, 69, 30
14044, 64, 30
14086, 57, 30
14127, 50, 30
14168, 41, 30
14209, 28, -30
14249, 23, -30
14293, 14, -30
14334, 21, -30
14375, 43, 30
14416, 61, 30
14464, 68, 30
14505, 66, 30
14545, 64, 30
14586, 60, 30
14627, 58, 30
14667, 52, 30
14707, 44, 30
14754, 28, -30
14795, 20, -30
14835, 13, -30
14875, 11, -30
14916, 18, -30
14957, 43, 30
14999, 65, 30
15043, 73, 30
15084, 74, 30
15124, 74, 30
15165, 73, 30
15207, 67, 30
15248, 63, 30
15288, 56, 30
15328, 40, 0
15369, 26, -30
15409, 15, -30
15453, 14, -30
15495, 26, -30
15536, 52, 30
15577, 65, 30
15617, 71, 30
15658, 71, 30
15699, 64, 30
15739, 66, 30
15783, 58, 30
15825, 47, 30
15865, 31, -30
15906, 15, -30
15946, 12, -30
15987, 8, -30
16027, 16, -30
16068, 30, -30
16109, 49, 30
16153, 57, 30
16197, 64, 30
16238, 62, 30
16279, 59, 30
16323, 52, 30
16364, 46, 30
16405, 38, -30
16446, 34, -30
16486, 25, -30
16527, 24, -30
16569, 35, -30
16613, 53, 30
16654, 66, 30
16695, 68, 30
16736, 68, 30
16776, 67, 30
16817, 64, 30
16859, 63, 30
16900, 57, 30
16941, 50, 30
16984, 41, 30
17025, 31, -30
17067, 17, -30
17107, 12, -30
17147, 12, -30
17189, 21, -30
17235, 40, 0
17277, 57, 30
17320, 64, 30
17364, 65, 30
17405, 62, 30
17445, 57, 30
17485, 47, 30
17529, 36, -30
17572, 22, -30
17614, 16, -30
17655, 26, -30
17695, 48, 30
17744, 63, 30
17785, 65, 30
17826, 63, 30
17868, 58, 30
17908, 55, 30
17948, 52, 30
17989, 46, 30
18033, 41, 30
18074, 27, -30
18114, 18, -30
18154, 12, -30
18194, 10, -30
18235, 18, -30
18277, 40, 0
18317, 56, 30
18358, 64, 30
18398, 65, 30
18439, 64, 30
18479, 62, 30
18523, 59, 30
18565, 51, 30
18605, 42, 30
18645, 32, -30
18685, 22, -30
18725, 14, -30
18768, 14, -30
18812, 30, -30
18855, 57, 30
18896, 65, 30
18936, 70, 30
18977, 71, 30
19017, 72, 30
19058, 73, 30
19098, 73, 30
19138, 74, 30
19182, 72, 30
19224, 65, 30
19265, 54, 30
19305, 37, -30
19345, 23, -30
19387, 15, -30
19427, 15, -30
19467, 31, -30
19508, 55, 30
19549, 65, 30
19594, 71, 30
19635, 71, 30
19687, 71, 30
19730, 71, 30
19773, 68, 30
19815, 66, 30
19855, 61, 30
19895, 55, 30
19935, 52, 30
19975, 48, 30
20016, 37, -30
20057, 26, -30
20098, 21, -30
20139, 21, -30
20179, 38, -30
20219, 59, 30
20263, 68, 30
20304, 70, 30
20344, 71, 30
20385, 70, 30
20428, 68, 30
20472, 66, 30
20514, 60, 30
20554, 47, 30
20595, 32, -30
20636, 23, -30
20676, 18, -30
20717, 17, -30
20758, 35, -30
20799, 55, 30
20844, 66, 30
20885, 69, 30
20926, 67, 30
20966, 66, 30
21007, 57, 30
21047, 50, 30
21088, 44, 30
21128, 25, -30
21172, 14, -30
21214, 7, -30
21254, 7, -30
21297, 12, -30
21338, 22, -30
21378, 39, -30
21422, 54, 30
21462, 59, 30
21504, 65, 30
21544, 65, 30
21584, 63, 30
21624, 61, 30
21664, 57, 30
21704, 54, 30
21748, 43, 30
21794, 33, -30
21834, 22, -30
21874, 15, -30
21914, 13, -30
21954, 18, -30
21995, 28, -30
22035, 38, -30
22082, 52, 30
22124, 57, 30
22165, 60, 30
22206, 60, 30
22246, 57, 30
22286, 55, 30
22326, 48, 30
22366, 39, -30
22407, 34, -30
22448, 26, -30
22489, 27, -30
22534, 41, 30
22575, 52, 30
22616, 60, 30
22661, 55, 30
22704, 48, 30
22744, 44, 30
22785, 33, -30
22826, 23, -30
22866, 16, -30
22907, 14, -30
22947, 23, -30
22987, 37, -30
23027, 45, 30
23068, 54, 30
23108, 59, 30
23148, 57, 30
23188, 53, 30
23228, 44, 30
23268, 37, -30
23308, 31, -30
23349, 23, -30
23393, 24, -30
23434, 39, -30
23475, 48, 30
23516, 58, 30
23557, 64, 30
23597, 64, 30
23637, 57, 30
23678, 48, 30
23720, 40, 0
23765, 26, -30
23806, 19, -30
23846, 16, -30
23887, 21, -30
23927, 36, -30
23967, 47, 30
24007, 56, 30
24047, 60, 30
24088, 61, 30
24128, 54, 30
24169, 38, -30
24209, 28, -30
24254, 23, -30
24294, 22, -30
24335, 35, -30
24375, 50, 30
24416, 60, 30
24456, 67, 30
24497, 65, 30
24538, 60, 30
24579, 46, 30
24619, 37, -30
24663, 29, -30
24705, 20, -30
24746, 19, -30
24787, 27, -30
24828, 42, 30
24868, 53, 30
24912, 63, 30
24954, 59, 30
24998, 47, 30
25040, 30, -30
25083, 23, -30
25124, 17, -30
25165, 12, -30
25205, 23, -30
25245, 37, -30
25286, 51, 30
25327, 63, 30
25367, 68, 30
25409, 68, 30
25454, 63, 30
25494, 56, 30
25534, 43, 30
25574, 27, -30
25614, 20, -30
25655, 15, -30
25699, 10, -30
25744, 19, -30
25784, 31, -30
25825, 40, 0
25865, 52, 30
25905, 58, 30
25945, 59, 30
25985, 48, 30
26025, 32, -30
26066, 18, -30
26107, 15, -30
26148, 14, -30
26189, 28, -30
26229, 48, 30
26273, 59, 30
26314, 61, 30
26354, 60, 30
26394, 57, 30
26435, 46, 30
26475, 43, 30
26516, 27, -30
26556, 13, -30
26597, 10, -30
26637, 10, -30
26678, 11, -30
26719, 24, -30
26762, 27, -30
26803, 43, 30
26844, 53, 30
26885, 56, 30
26925, 59, 30
26965, 48, 30
27005, 36, -30
27045, 26, -30
27095, 15, -30
27137, 20, -30
27178, 34, -30
27218, 42, 30
27258, 52, 30
27301, 59, 30
27344, 61, 30
27385, 57, 30
27426, 50, 30
27466, 39, -30
27506, 24, -30
27546, 19, -30
27586, 16, -30
27626, 25, -30
27669, 35, -30
27710, 48, 30
27751, 55, 30
27795, 60, 30
27836, 61, 30
27876, 54, 30
27917, 44, 30
27958, 30, -30
27999, 21, -30
28044, 14, -30
28085, 14, -30
28126, 27, -30
28166, 37, -30
28207, 52, 30
28248, 61, 30
28288, 68, 30
28328, 68, 30
28372, 64, 30
28414, 56, 30
28455, 47, 30
28495, 31, -30
28544, 21, -30
28584, 12, -30
28625, 11, -30
28674, 22, -30
28715, 35, -30
28756, 45, 30
28803, 54, 30
28844, 63, 30
28884, 59, 30
28927, 47, 30
28967, 31, -30
29013, 22, -30
29054, 15, -30
29095, 20, -30
29136, 34, -30
29176, 48, 30
29216, 55, 30
29256, 62, 30
29297, 62, 30
29338, 55, 30
29378, 44, 30
29419, 29, -30
29463, 20, -30
29504, 13, -30
29544, 14, -30
29584, 24, -30
29624, 41, 30
29664, 53, 30
29709, 57, 30
29749, 56, 30
29793, 43, 30
29834, 34, -30
29874, 22, -30
29914, 12, -30
29954, 16, -30
29996, 24, -30
30037, 33, -30
30078, 41, 30
30119, 54, 30
30163, 58, 30
30205, 63, 30
30245, 58, 30
30285, 52, 30
30325, 37, -30
30365, 26, -30
30406, 19, -30
30448, 18, -30
30493, 32, -30
30534, 47, 30
30575, 57, 30
30616, 65, 30
30656, 65, 30
30697, 61, 30
30739, 50, 30
30782, 39, -30
30824, 28, -30
30864, 20, -30
30904, 17, -30
30945, 30, -30
30985, 46, 30
31025, 55, 30
31065, 63, 30
31105, 63, 30
31145, 58, 30
31185, 47, 30
31225, 31, -30
31266, 26, -30
31307, 17, -30
31347, 13, -30
31388, 20, -30
31429, 32, -30
31469, 48, 30
31510, 55, 30
31553, 61, 30
31594, 60, 30
31634, 46, 30
31674, 36, -30
31717, 25, -30
31757, 20, -30
31801, 18, -30
31845, 31, -30
31887, 47, 30
31928, 57, 30
31968, 64, 30
32008, 61, 30
32053, 51, 30
32094, 35, -30
32134, 26, -30
32174, 19, -30
32214, 17, -30
32255, 31, -30
32296, 52, 30
32337, 60, 30
32377, 66, 30
32417, 67, 30
32457, 58, 30
32498, 44, 30
32539, 28, -30
32583, 18, -30
32624, 9, -30
32665, 10, -30
32705, 26, -30
32746, 36, -30
32787, 52, 30
32827, 62, 30
32867, 71, 30
32907, 70, 30
32947, 63, 30
32987, 49, 30
33027, 33, -30
33070, 23, -30
33114, 14, -30
33154, 13, -30
33194, 41, 30
33235, 52, 30
33275, 62, 30
33315, 61, 30
33359, 47, 30
33401, 26, -30
33442, 21, -30
33484, 10, -30
33525, 9, -30
33565, 13, -30
33605, 29, -30
33646, 55, 30
33686, 64, 30
33727, 76, 30
33767, 75, 30
33807, 69, 30
33849, 47, 30
33892, 31, -30
33934, 16, -30
33974, 10, -30
34015, 7, -30
34055, 14, -30
34096, 34, -30
34137, 61, 30
34177, 70, 30
34217, 76, 30
34257, 75, 30
34297, 72, 30
34337, 56, 30
34377, 44, 30
34418, 29, -30
34463, 17, -30
34504, 13, -30
34547, 11, -30
34588, 19, -30
34632, 32, -30
34674, 48, 30
34715, 63, 30
34755, 71, 30
34795, 72, 30
34835, 60, 30
34876, 46, 30
34919, 34, -30
34959, 24, -30
35002, 15, -30
35045, 13, -30
35085, 21, -30
35125, 40, 0
35166, 56, 30
35207, 66, 30
35248, 66, 30
35292, 60, 30
35335, 43, 30
35375, 33, -30
35415, 21, -30
35455, 13, -30
35496, 11, -30
35536, 20, -30
35579, 34, -30
35619, 49, 30
35665, 57, 30
35706, 66, 30
35747, 64, 30
35788, 48, 30
35828, 29, -30
35868, 17, -30
35912, 11, -30
35954, 10, -30
35995, 24, -30
36035, 38, -30
36075, 54, 30
36115, 65, 30
36155, 71, 30
36195, 71, 30
36235, 68, 30
36275, 59, 30
36316, 54, 30
36356, 44, 30
36397, 28, -30
36437, 18, -30
36477, 11, -30
36517, 8, -30
36558, 14, -30
36599, 18, -30
36639, 29, -30
36684, 43, 30
36725, 57, 30
36765, 61, 30
36805, 60, 30
36846, 52, 30
36887, 35, -30
36927, 20, -30
36969, 15, -30
37009, 13, -30
37053, 25, -30
37095, 52, 30
37135, 60, 30
37175, 71, 30
37216, 71, 30
37257, 64, 30
37298, 50, 30
37338, 36, -30
37379, 25, -30
37423, 17, -30
37464, 15, -30
37504, 28, -30
37544, 43, 30
37585, 50, 30
37626, 55, 30
37673, 50, 30
37714, 37, -30
37756, 21, -30
37796, 17, -30
37837, 22, -30
37878, 34, -30
37918, 45, 30
37959, 57, 30
37999, 62, 30
38044, 61, 30
38087, 54, 30
38128, 43, 30
38168, 33, -30
38209, 21, -30
38249, 15, -30
38293, 13, -30
38334, 28, -30
38375, 44, 30
38417, 53, 30
38457, 57, 30
38498, 54, 30
38539, 39, -30
38579, 25, -30
38624, 17, -30
38665, 21, -30
38705, 37, -30
38745, 47, 30
38786, 53, 30
38827, 60, 30
38868, 60, 30
38908, 53, 30
