time, color, angle
0, 69, 20
46, 69, 20
88, 68, 20
128, 68, 20
169, 66, 20
210, 66, 20
251, 62, 20
295, 53, 20
336, 43, 20
377, 30, -20
418, 20, -20
458, 14, -20
499, 17, -20
540, 25, -20
580, 33, -20
620, 40, 0
660, 46, 20
700, 51, 20
740, 51, 20
780, 49, 20
820, 35, -20
860, 26, -20
904, 20, -20
946, 21, -20
986, 32, -20
1027, 43, 20
1069, 52, 20
1109, 62, 20
1149, 59, 20
1193, 42, 20
1236, 31, -20
1276, 21, -20
1317, 13, -20
1358, 14, -20
1399, 26, -20
1440, 32, -20
1483, 47, 20
1526, 59, 20
1567, 66, 20
1607, 54, 20
1650, 34, -20
1690, 20, -20
1731, 14, -20
1771, 18, -20
1815, 34, -20
1855, 55, 20
1895, 65, 20
1935, 72, 20
1976, 67, 20
2016, 52, 20
2057, 42, 20
2098, 32, -20
2147, 21, -20
2187, 16, -20
2227, 16, -20
2268, 25, -20
2309, 35, -20
2350, 45, 20
2390, 52, 20
2434, 54, 20
2475, 50, 20
2516, 40, 0
2561, 32, -20
2605, 29, -20
2646, 31, -20
2686, 30, -20
2728, 46, 20
2769, 66, 20
2810, 74, 20
2851, 74, 20
2895, 69, 20
2935, 62, 20
2977, 51, 20
3017, 37, -20
3066, 25, -20
3106, 17, -20
3147, 17, -20
3188, 24, -20
3229, 30, -20
3270, 40, 0
3310, 47, 20
3351, 52, 20
3396, 49, 20
3437, 40, 0
3478, 33, -20
3523, 24, -20
3566, 28, -20
3608, 38, -20
3649, 47, 20
3690, 50, 20
3730, 56, 20
3771, 52, 20
3815, 46, 20
3856, 39, -20
3896, 29, -20
3937, 21, -20
3977, 27, -20
4017, 36, -20
4061, 49, 20
4101, 54, 20
4141, 61, 20
4186, 58, 20
4226, 54, 20
4266, 41, 20
4306, 33, -20
4349, 26, -20
4392, 19, -20
4436, 23, -20
4476, 31, -20
4517, 45, 20
4568, 54, 20
4609, 56, 20
4649, 49, 20
4691, 35, -20
4735, 26, -20
4776, 19, -20
4817, 21, -20
4857, 33, -20
4897, 43, 20
4940, 55, 20
4980, 58, 20
5026, 55, 20
5067, 39, -20
5108, 34, -20
5149, 26, -20
5190, 31, -20
5234, 46, 20
5275, 50, 20
5316, 56, 20
5358, 54, 20
5399, 46, 20
5440, 36, -20
5481, 26, -20
5521, 22, -20
5566, 27, -20
5606, 37, -20
5646, 47, 20
5686, 52, 20
5726, 57, 20
5768, 56, 20
5809, 51, 20
5849, 39, -20
5889, 30, -20
5929, 23, -20
5969, 27, -20
6010, 42, 20
6050, 43, 20
6096, 48, 20
6137, 41, 20
6178, 31, -20
6218, 21, -20
6259, 18, -20
6299, 25, -20
6340, 31, -20
6381, 40, 0
6426, 45, 20
6467, 47, 20
6508, 48, 20
6548, 42, 20
6588, 38, -20
6629, 29, -20
6673, 26, -20
6716, 30, -20
6756, 39, -20
6796, 44, 20
6836, 49, 20
6876, 52, 20
6919, 51, 20
6959, 46, 20
6999, 40, 0
7039, 32, -20
7079, 27, -20
7121, 27, -20
7165, 32, -20
7206, 43, 20
7246, 51, 20
7286, 52, 20
7326, 51, 20
7366, 46, 20
7410, 40, 0
7452, 34, -20
7496, 27, -20
7540, 26, -20
7583, 30, -20
7625, 38, -20
7669, 45, 20
7710, 55, 20
7751, 58, 20
7791, 57, 20
7835, 52, 20
7876, 46, 20
7917, 43, 20
7958, 34, -20
7999, 29, -20
8039, 20, -20
8079, 19, -20
8120, 25, -20
8163, 37, -20
8206, 48, 20
8246, 57, 20
8286, 61, 20
8329, 58, 20
8370, 49, 20
8410, 39, -20
8451, 33, -20
8497, 22, -20
8537, 26, -20
8578, 38, -20
8618, 50, 20
8659, 61, 20
8707, 71, 20
8748, 70, 20
8789, 63, 20
8830, 49, 20
8875, 36, -20
8916, 27, -20
8957, 23, -20
8998, 24, -20
9038, 29, -20
9079, 45, 20
9119, 50, 20
9160, 52, 20
9200, 46, 20
9245, 34, -20
9286, 25, -20
9326, 18, -20
9368, 23, -20
9409, 34, -20
9450, 47, 20
9494, 57, 20
9536, 65, 20
9577, 65, 20
9618, 50, 20
9658, 43, 20
9698, 29, -20
9745, 19, -20
9785, 12, -20
9827, 13, -20
9867, 25, -20
9908, 35, -20
9948, 51, 20
9988, 61, 20
10028, 68, 20
10068, 65, 20
10109, 51, 20
10150, 30, -20
10190, 24, -20
10235, 17, -20
10276, 23, -20
10317, 31, -20
10358, 46, 20
10398, 62, 20
10438, 67, 20
10478, 68, 20
10518, 54, 20
10559, 43, 20
10600, 38, -20
10640, 27, -20
10684, 18, -20
10726, 19, -20
10767, 25, -20
10807, 36, -20
10847, 51, 20
10887, 63, 20
10927, 67, 20
10967, 63, 20
11007, 51, 20
11047, 34, -20
11087, 26, -20
11127, 21, -20
11167, 25, -20
11207, 34, -20
11250, 44, 20
11290, 52, 20
11335, 58, 20
11379, 55, 20
11419, 52, 20
11461, 41, 20
11505, 32, -20
11546, 23, -20
11586, 18, -20
11626, 18, -20
11666, 27, -20
11706, 32, -20
11747, 42, 20
11793, 48, 20
11837, 52, 20
11877, 45, 20
11918, 34, -20
11958, 27, -20
11998, 24, -20
12038, 29, -20
12079, 41, 20
12121, 48, 20
12164, 49, 20
12204, 46, 20
12246, 40, 0
12286, 35, -20
12326, 22, -20
12366, 24, -20
12406, 36, -20
12447, 42, 20
12490, 53, 20
12531, 59, 20
12575, 57, 20
12616, 46, 20
12657, 40, 0
12697, 34, -20
12743, 26, -20
12786, 25, -20
12827, 34, -20
12867, 46, 20
12907, 56, 20
12947, 59, 20
12987, 55, 20
13027, 46, 20
13067, 31, -20
13107, 26, -20
13155, 19, -20
13196, 22, -20
13236, 36, -20
13276, 45, 20
13316, 53, 20
13356, 58, 20
13397, 55, 20
13438, 46, 20
13480, 41, 20
13525, 27, -20
13566, 20, -20
13607, 15, -20
13647, 16, -20
13687, 23, -20
13727, 32, -20
13769, 45, 20
13810, 57, 20
13850, 61, 20
13891, 56, 20
13931, 49, 20
13975, 34, -20
14016, 24, -20
14056, 21, -20
14097, 23, -20
14140, 35, -20
14181, 47, 20
14221, 57, 20
14266, 62, 20
14306, 60, 20
14347, 52, 20
14387, 43, 20
14428, 34, -20
14468, 24, -20
14508, 18, -20
14548, 17, -20
14589, 30, -20
14629, 40, 0
14669, 52, 20
14710, 56, 20
14751, 57, 20
14795, 46, 20
14835, 35, -20
14876, 26, -20
14917, 19, -20
